gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,tenure_group,HasInternet,NumServices,ContractMonths,IsMonthToMonth,ContractProgress,HasPhoneService,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,fiber_contract_risk,price_tenure_risk,early_customer,price_stress,fiber_new_customer,Churn_Probability,Prediction,Risk_Level,Recommended_Action
1,0,0,0,12,1,0,0,0,0,0,0,0,0,20.1,223.6,2,0,0,1,1,0.0,0,0,1,0,0,1,0,0,0,1.5461538461538464,0,20.1,0,0.09690869877785767,0,Low,No action
1,0,1,1,23,1,0,0,1,1,1,0,0,0,83.8,1900.25,3,1,3,1,1,0.0,0,1,0,0,1,0,0,0,1,3.4916666666666663,0,83.8,0,0.25527812766447405,0,Low,No action
0,0,1,0,44,0,0,0,1,1,0,1,1,0,54.3,2390.45,5,1,4,24,0,1.0,0,0,0,0,0,0,0,1,0,1.2066666666666666,0,0.0,0,0.07382086939609063,0,Low,No action
1,0,0,0,50,1,0,0,0,1,1,0,1,1,89.7,4304.5,6,1,3,24,0,1.0,0,1,0,0,0,0,0,1,0,1.7588235294117647,0,0.0,0,0.0742848498600711,0,Low,No action
1,0,1,1,34,1,0,0,0,0,0,0,0,1,20.1,682.1,4,0,0,12,0,1.0,0,0,1,0,0,0,1,0,0,0.5742857142857143,0,0.0,0,0.040190679853871515,0,Low,No action
1,0,1,1,31,1,1,0,1,0,1,1,1,0,80.55,2471.6,4,1,4,24,0,1.0,0,0,0,0,0,0,0,1,0,2.5171875,0,0.0,0,0.0414703425229741,0,Low,No action
1,0,0,0,24,1,1,0,0,1,0,1,0,1,88.95,2072.75,4,1,2,1,1,0.0,0,1,0,1,0,0,0,0,1,3.5580000000000003,0,88.95,0,0.4440658377172007,1,Medium,Send engagement offer
1,0,0,0,5,1,1,0,0,0,0,1,0,1,84.0,424.75,0,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,14.0,1,84.0,1,0.8493728493728493,1,High,Priority retention call
0,1,1,0,18,1,0,1,0,0,0,0,1,1,59.1,1011.05,3,1,2,1,1,0.0,0,0,0,1,0,0,0,0,0,3.110526315789474,0,59.1,0,0.2137309353108301,0,Low,No action
1,1,1,0,65,1,1,0,1,1,0,1,1,1,108.8,7082.45,7,1,4,1,1,0.0,0,1,0,0,0,0,0,0,1,1.6484848484848484,0,108.8,0,0.2917069744424756,0,Low,No action
0,0,0,0,23,1,0,0,0,0,0,0,0,0,20.85,473.9,3,0,0,1,1,0.0,0,0,1,0,1,0,0,0,0,0.86875,0,20.85,0,0.12536902202491076,0,Low,No action
1,0,0,0,2,1,1,0,0,0,0,0,0,1,75.55,166.3,0,1,0,1,1,0.0,0,1,0,0,1,0,0,0,1,25.18333333333333,1,75.55,1,0.8003735395039743,1,High,Priority retention call
0,0,1,1,18,1,0,1,0,1,0,1,0,1,87.9,1500.5,3,1,3,1,1,0.0,0,1,0,0,0,1,0,0,1,4.626315789473685,0,87.9,0,0.2938877955563161,0,Low,No action
1,0,1,1,17,1,0,0,0,1,1,1,1,0,98.6,1704.95,2,1,4,12,0,1.0,0,1,0,0,0,0,1,0,0,5.477777777777777,0,0.0,0,0.1643360883146111,0,Low,No action
1,1,1,1,14,1,1,0,0,0,0,1,1,1,95.8,1346.3,2,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,6.386666666666667,0,95.8,0,0.6771446027157154,1,High,Priority retention call
1,0,1,1,13,1,1,0,0,0,0,0,0,1,25.0,332.5,2,0,0,24,0,0.5416666666666666,0,0,1,0,0,0,0,1,0,1.7857142857142856,0,0.0,0,0.020545977011494253,0,Low,No action
1,0,1,1,28,1,0,1,0,0,0,0,1,1,82.85,2320.8,4,1,2,12,0,1.0,0,1,0,0,0,0,1,0,0,2.856896551724138,0,0.0,0,0.1403975120534008,0,Low,No action
1,0,0,0,58,1,1,0,0,0,0,0,0,0,24.35,1423.85,6,0,0,24,0,1.0,0,0,1,1,0,0,0,1,0,0.4127118644067797,0,0.0,0,0.004583254583254583,0,Low,No action
1,0,0,0,60,1,0,0,0,0,0,0,0,0,20.6,1093.0,7,0,0,24,0,1.0,0,0,1,0,0,1,0,1,0,0.3377049180327869,0,0.0,0,0.002331002331002331,0,Low,No action
0,0,1,0,49,0,0,0,1,0,0,1,1,0,49.65,2409.9,6,1,3,24,0,1.0,0,0,0,1,0,0,0,1,0,0.993,0,0.0,0,0.0414703425229741,0,Low,No action
1,0,0,0,2,1,0,0,0,0,0,1,1,1,90.4,168.2,0,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,30.133333333333333,1,90.4,1,0.8493728493728493,1,High,Priority retention call
1,0,0,0,26,1,0,1,0,1,1,0,1,1,95.85,2475.35,4,1,4,12,0,1.0,0,1,0,0,0,0,1,0,0,3.5499999999999994,0,0.0,0,0.1403975120534008,0,Low,No action
0,0,1,0,3,0,0,0,0,0,1,0,0,1,29.9,92.25,0,1,1,1,1,0.0,0,0,0,0,1,0,0,0,0,7.475,1,29.9,0,0.5605401122870165,1,Medium,Send engagement offer
0,1,0,0,3,0,0,0,0,1,0,0,1,1,41.15,132.2,0,1,2,1,1,0.0,0,0,0,0,1,0,0,0,0,10.2875,1,41.15,0,0.7491107925890534,1,High,Priority retention call
1,0,1,1,61,1,1,0,0,0,0,0,0,1,24.1,1551.6,7,0,0,24,0,1.0,0,0,1,0,0,1,0,1,0,0.38870967741935486,0,0.0,0,0.004583254583254583,0,Low,No action
0,0,0,0,7,1,1,0,0,1,0,1,1,1,98.05,713.0,1,1,3,1,1,0.0,0,1,0,0,0,0,0,0,1,12.25625,0,98.05,0,0.8852285925456657,1,High,Priority retention call
0,0,1,1,1,1,0,0,0,0,0,0,0,0,18.8,18.8,0,0,0,12,0,0.08333333333333333,0,0,1,0,0,1,1,0,0,9.4,1,0.0,0,0.0224904214559387,0,Low,No action
0,0,1,0,12,1,0,1,1,1,0,0,0,1,84.6,959.9,2,1,3,1,1,0.0,0,1,0,0,1,0,0,0,1,6.507692307692308,0,84.6,0,0.43488846479398974,1,Medium,Send engagement offer
0,0,0,0,25,1,1,1,1,1,1,0,1,0,81.75,2028.8,4,1,5,1,1,0.0,0,0,0,0,0,0,0,0,0,3.1442307692307696,0,81.75,0,0.07382086939609063,0,Low,No action
0,0,0,0,54,1,0,1,0,1,0,1,0,0,89.8,4667.0,6,1,3,1,1,0.0,0,1,0,0,0,1,0,0,1,1.6327272727272726,0,89.8,0,0.14930759828612106,0,Low,No action
0,1,1,0,57,1,0,0,1,1,0,1,0,1,90.65,5199.8,6,1,3,12,0,1.0,0,1,0,0,1,0,1,0,0,1.5629310344827587,0,0.0,0,0.17210377381369701,0,Low,No action
1,0,1,1,10,1,0,0,1,1,0,0,1,1,65.9,660.05,1,1,3,12,0,0.8333333333333334,0,0,0,0,0,1,1,0,0,5.990909090909091,0,0.0,0,0.1403975120534008,0,Low,No action
1,1,0,0,5,1,0,0,0,1,0,0,0,1,75.55,349.65,0,1,1,1,1,0.0,0,1,0,1,0,0,0,0,1,12.591666666666665,1,75.55,1,0.5830568112743038,1,Medium,Send engagement offer
0,0,0,1,29,0,0,1,1,1,1,0,0,1,45.0,1242.45,4,1,4,1,1,0.0,0,0,0,0,0,1,0,0,0,1.5,0,45.0,0,0.08482078668994557,0,Low,No action
1,0,0,0,59,1,1,1,1,1,0,0,1,1,99.45,5623.7,6,1,4,1,1,0.0,0,1,0,0,0,0,0,0,1,1.6575,0,99.45,0,0.25648585713307304,0,Low,No action
1,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,6,0,0,12,0,1.0,0,0,1,0,0,1,1,0,0,0.38962264150943393,0,0.0,0,0.01724267370819095,0,Low,No action
0,1,0,0,2,1,0,0,1,0,0,0,0,1,74.7,165.4,0,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,24.9,1,74.7,1,0.6771446027157154,1,High,Priority retention call
0,0,1,1,69,1,0,0,1,0,1,1,0,1,92.15,6480.9,7,1,3,24,0,1.0,0,1,0,0,0,1,0,1,0,1.3164285714285715,0,0.0,0,0.040190679853871515,0,Low,No action
0,0,1,0,36,1,0,0,0,0,0,0,0,0,20.0,666.75,5,0,0,12,0,1.0,0,0,1,0,0,1,1,0,0,0.5405405405405406,0,0.0,0,0.0224904214559387,0,Low,No action
1,0,0,1,15,1,0,0,0,0,0,0,0,0,69.0,994.8,2,1,0,1,1,0.0,0,1,0,0,0,0,0,0,1,4.3125,0,69.0,0,0.29727859580357063,0,Low,No action
0,0,0,0,3,1,0,0,0,0,0,1,1,0,90.7,237.65,0,1,2,1,1,0.0,0,1,0,0,0,1,0,0,1,22.675,1,90.7,1,0.5830568112743038,1,Medium,Send engagement offer
1,0,0,0,1,1,0,0,0,0,0,0,0,0,45.95,45.95,0,1,0,1,1,0.0,0,0,0,0,0,1,0,0,0,22.975,1,45.95,0,0.43485531140141126,1,Medium,Send engagement offer
1,0,0,0,47,1,0,1,0,1,1,1,1,1,103.7,4730.6,5,1,5,12,0,1.0,0,1,0,0,1,0,1,0,0,2.1604166666666664,0,0.0,0,0.2137309353108301,0,Low,No action
0,0,0,0,7,1,0,0,0,1,0,0,0,1,74.9,490.55,1,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,9.3625,0,74.9,0,0.5907427116226303,1,Medium,Send engagement offer
0,0,0,0,24,1,1,1,0,0,0,0,0,1,55.65,1400.55,4,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,2.226,0,55.65,0,0.12536902202491076,0,Low,No action
1,0,1,1,24,1,0,1,0,0,1,0,0,0,55.15,1319.85,4,1,2,1,1,0.0,0,0,0,0,1,0,0,0,0,2.206,0,55.15,0,0.067196937772159,0,Low,No action
1,1,0,0,2,1,0,0,0,0,0,0,1,1,79.6,195.05,0,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,26.53333333333333,1,79.6,1,0.8493728493728493,1,High,Priority retention call
1,0,0,0,40,1,0,0,0,0,0,0,0,0,20.15,804.85,5,0,0,24,0,1.0,0,0,1,0,0,1,0,1,0,0.49146341463414633,0,0.0,0,0.004583254583254583,0,Low,No action
0,0,1,1,45,1,0,1,0,0,1,0,0,0,54.65,2553.7,5,1,2,24,0,1.0,0,0,0,0,0,0,0,1,0,1.1880434782608695,0,0.0,0,0.010298229263746505,0,Low,No action
0,0,1,0,18,1,1,0,1,0,0,0,0,0,56.8,1074.65,3,1,1,1,1,0.0,0,0,0,1,0,0,0,0,0,2.989473684210526,0,56.8,0,0.1290691493853435,0,Low,No action
0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.15,130.5,1,0,0,1,1,0.0,0,0,1,0,0,0,0,0,0,2.878571428571428,1,20.15,0,0.1403975120534008,0,Low,No action
0,0,1,1,0,1,0,0,0,0,0,0,0,1,19.7,0.0,0,0,0,12,0,0.0,0,0,1,0,0,1,1,0,0,19.7,1,0.0,0,0.07130952380952381,0,Low,No action
1,0,0,0,36,1,1,0,1,1,0,1,1,1,104.8,3886.45,5,1,4,12,0,1.0,0,1,0,0,0,0,1,0,0,2.8324324324324324,0,0.0,0,0.2917069744424756,0,Low,No action
1,1,1,0,25,1,0,0,1,1,0,0,1,0,88.4,2191.15,4,1,3,1,1,0.0,0,1,0,0,0,0,0,0,1,3.4000000000000004,0,88.4,0,0.2962189957652752,0,Low,No action
0,0,1,0,42,1,1,0,0,1,1,1,1,1,106.15,4512.7,5,1,4,1,1,0.0,0,1,0,0,0,0,0,0,1,2.468604651162791,0,106.15,0,0.3767859298026179,1,Medium,Send engagement offer
0,0,1,1,20,1,0,0,0,0,0,1,1,1,90.2,1776.55,3,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,4.295238095238095,0,90.2,0,0.5605401122870165,1,Medium,Send engagement offer
1,1,0,0,3,1,0,0,0,1,0,0,0,0,75.05,202.9,0,1,1,1,1,0.0,0,1,0,0,0,1,0,0,1,18.7625,1,75.05,1,0.5541415055930895,1,Medium,Send engagement offer
1,0,1,1,18,1,1,0,0,0,0,0,0,1,24.65,471.35,3,0,0,24,0,0.75,0,0,1,1,0,0,0,1,0,1.2973684210526315,0,0.0,0,0.01483100233100233,0,Low,No action
0,0,0,0,1,1,0,0,0,1,1,0,0,0,55.05,55.05,0,1,2,1,1,0.0,0,0,0,0,0,1,0,0,0,27.525,1,55.05,0,0.3922164865545632,1,Medium,Send engagement offer
1,0,0,0,41,1,1,1,1,1,1,1,0,1,106.5,4282.4,5,1,5,1,1,0.0,0,1,0,0,1,0,0,0,1,2.5357142857142856,0,106.5,0,0.25527812766447405,0,Low,No action
1,0,0,0,1,1,1,0,0,0,0,0,0,1,74.5,74.5,0,1,0,1,1,0.0,0,1,0,0,1,0,0,0,1,37.25,1,74.5,1,0.9013200365442698,1,High,Priority retention call
0,0,1,1,40,1,1,0,0,1,0,0,0,1,81.2,3292.3,5,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,1.980487804878049,0,81.2,0,0.3767859298026179,1,Medium,Send engagement offer
1,0,0,0,2,1,0,0,0,0,0,0,0,0,70.35,139.25,0,1,0,1,1,0.0,0,1,0,0,1,0,0,0,1,23.449999999999996,1,70.35,1,0.5830568112743038,1,Medium,Send engagement offer
1,0,1,1,30,0,0,0,0,0,1,1,1,0,51.2,1561.5,4,1,3,1,1,0.0,0,0,0,1,0,0,0,0,0,1.6516129032258065,0,51.2,0,0.12853465142621767,0,Low,No action
1,0,0,0,2,1,0,0,0,0,0,0,0,0,19.4,61.05,0,0,0,1,1,0.0,0,0,1,0,0,1,0,0,0,6.466666666666666,1,19.4,0,0.1480918407701369,0,Low,No action
1,0,0,0,6,1,0,0,0,0,0,0,0,0,20.2,123.65,1,0,0,1,1,0.0,0,0,1,0,0,1,0,0,0,2.8857142857142852,1,20.2,0,0.1403975120534008,0,Low,No action
1,0,1,1,1,1,0,0,0,1,0,0,0,0,50.45,50.45,0,1,1,1,1,0.0,0,0,0,0,0,1,0,0,0,25.225,1,50.45,0,0.3939708725194755,1,Medium,Send engagement offer
1,1,1,0,66,1,1,0,1,1,1,1,1,1,108.1,7181.95,7,1,5,12,0,1.0,0,1,0,1,0,0,1,0,0,1.6134328358208954,0,0.0,0,0.241023842917251,0,Low,No action
1,0,1,1,27,1,1,0,0,0,0,0,0,0,24.5,761.95,4,0,0,24,0,1.0,0,0,1,0,1,0,0,1,0,0.875,0,0.0,0,0.03447570517337959,0,Low,No action
0,0,1,1,18,1,0,0,0,1,0,0,1,0,57.45,990.85,3,1,2,1,1,0.0,0,0,0,0,1,0,0,0,0,3.0236842105263158,0,57.45,0,0.2137309353108301,0,Low,No action
1,1,1,0,71,1,0,0,1,1,0,0,1,0,89.45,6435.25,7,1,3,24,0,1.0,0,1,0,1,0,0,0,1,0,1.242361111111111,0,0.0,0,0.04074438970990695,0,Low,No action
1,0,1,1,23,1,1,0,0,0,0,0,1,0,85.6,1868.4,3,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,3.5666666666666664,0,85.6,0,0.47233947443663954,1,Medium,Send engagement offer
0,0,0,1,9,1,0,0,0,0,0,0,0,0,20.4,184.1,1,0,0,1,1,0.0,0,0,1,0,0,1,0,0,0,2.04,0,20.4,0,0.09690869877785767,0,Low,No action
1,0,0,0,10,1,0,0,0,0,0,0,0,1,20.9,247.0,1,0,0,1,1,0.0,0,0,1,0,0,1,0,0,0,1.9,0,20.9,0,0.1403975120534008,0,Low,No action
0,0,1,1,72,1,0,0,1,1,0,1,1,1,75.4,5480.25,8,1,4,24,0,1.0,0,0,0,0,0,0,0,1,0,1.0328767123287672,0,0.0,0,0.04074438970990695,0,Low,No action
1,0,0,0,31,1,1,1,0,1,1,0,0,0,65.25,1994.3,4,1,3,1,1,0.0,0,0,0,1,0,0,0,0,0,2.0390625,0,65.25,0,0.0776431452099785,0,Low,No action
1,1,0,0,14,1,1,0,1,1,0,1,1,1,104.85,1531.4,2,1,4,1,1,0.0,0,1,0,0,1,0,0,0,1,6.989999999999999,0,104.85,0,0.8057020356209744,1,High,Priority retention call
0,1,1,0,69,1,1,1,1,0,0,0,0,1,84.9,5785.65,7,1,2,1,1,0.0,0,1,0,1,0,0,0,0,1,1.2128571428571429,0,84.9,0,0.2137309353108301,0,Low,No action
0,0,0,0,1,1,0,0,0,1,0,1,0,1,84.85,84.85,0,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,42.425,1,84.85,1,0.8852285925456657,1,High,Priority retention call
0,0,1,1,71,1,1,0,0,0,0,0,0,0,25.35,1847.55,7,0,0,24,0,1.0,0,0,1,1,0,0,0,1,0,0.35208333333333336,0,0.0,0,0.004583254583254583,0,Low,No action
1,0,1,1,18,1,0,0,0,0,0,1,0,0,55.95,1082.8,3,1,1,1,1,0.0,0,0,0,0,0,1,0,0,0,2.944736842105263,0,55.95,0,0.13306335074164685,0,Low,No action
0,0,1,0,59,1,1,1,1,1,1,1,1,0,113.75,6561.25,6,1,6,24,0,1.0,0,1,0,0,1,0,0,1,0,1.8958333333333333,0,0.0,0,0.11328110993699868,0,Low,No action
1,0,0,0,34,1,0,1,1,0,0,0,0,0,55.0,1885.15,4,1,2,12,0,1.0,0,0,0,0,0,1,1,0,0,1.5714285714285714,0,0.0,0,0.03460567807535004,0,Low,No action
0,0,0,0,68,1,1,1,1,1,0,0,1,1,76.9,5023.0,7,1,4,12,0,1.0,0,0,0,1,0,0,1,0,0,1.1144927536231886,0,0.0,0,0.08482078668994557,0,Low,No action
0,0,1,1,15,1,0,0,0,0,0,0,0,0,19.35,278.85,2,0,0,24,0,0.625,0,0,1,0,0,1,0,1,0,1.209375,0,0.0,0,0.004583254583254583,0,Low,No action
1,0,0,0,4,1,0,0,1,1,1,1,1,1,105.65,443.9,0,1,5,12,0,0.3333333333333333,0,1,0,0,1,0,1,0,0,21.130000000000003,1,0.0,1,0.226843426684191,0,Low,No action
0,0,1,0,8,1,0,0,1,0,0,0,0,1,49.55,393.45,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,5.505555555555555,0,49.55,0,0.21836056494045972,0,Low,No action
1,1,1,0,5,1,0,0,0,0,0,0,0,0,70.05,302.6,0,1,0,1,1,0.0,0,1,0,0,1,0,0,0,1,11.674999999999999,1,70.05,1,0.5196556734050808,1,Medium,Send engagement offer
0,0,0,0,54,1,1,0,0,1,0,0,1,0,89.4,4869.5,6,1,2,1,1,0.0,0,1,0,1,0,0,0,0,1,1.6254545454545455,0,89.4,0,0.2922001428473588,0,Low,No action
0,0,0,0,23,1,1,0,0,0,1,1,0,1,90.6,1943.2,3,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,3.7749999999999995,0,90.6,0,0.5196556734050808,1,Medium,Send engagement offer
1,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,5,1,0,1,1,0.0,0,1,0,0,1,0,0,0,1,2.013157894736842,0,76.5,0,0.5132570667111538,1,Medium,Send engagement offer
0,0,0,0,10,1,0,1,1,1,1,1,1,1,110.1,1043.3,1,1,6,1,1,0.0,0,1,0,0,1,0,0,0,1,10.00909090909091,0,110.1,0,0.5605401122870165,1,Medium,Send engagement offer
0,1,1,0,17,1,0,0,1,0,0,0,0,1,76.45,1233.4,2,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,4.247222222222222,0,76.45,0,0.5196556734050808,1,Medium,Send engagement offer
0,0,1,0,3,1,0,0,0,1,1,0,0,1,55.8,154.55,0,1,2,1,1,0.0,0,0,0,0,0,1,0,0,0,13.95,1,55.8,0,0.36963343317643704,1,Medium,Send engagement offer
0,0,1,1,72,1,1,1,1,1,1,0,1,0,81.0,5750.0,8,1,5,24,0,1.0,0,0,0,1,0,0,0,1,0,1.1095890410958904,0,0.0,0,0.004583254583254583,0,Low,No action
0,0,1,0,15,1,0,0,0,0,0,0,0,0,18.8,294.95,2,0,0,12,0,1.0,0,0,1,0,0,1,1,0,0,1.175,0,0.0,0,0.04074438970990695,0,Low,No action
0,0,1,1,54,1,1,0,0,0,0,0,0,1,24.05,1230.9,6,0,0,24,0,1.0,0,0,1,0,0,0,0,1,0,0.43727272727272726,0,0.0,0,0.01483100233100233,0,Low,No action
1,0,1,0,72,1,1,1,1,1,0,1,1,1,110.75,7751.7,8,1,5,24,0,1.0,0,1,0,0,1,0,0,1,0,1.5171232876712328,0,0.0,0,0.11436910473105584,0,Low,No action
1,1,1,0,58,1,1,0,1,0,0,1,1,1,97.8,5458.8,6,1,3,12,0,1.0,0,1,0,0,0,0,1,0,0,1.6576271186440676,0,0.0,0,0.28995258847756333,0,Low,No action
1,0,1,1,29,1,0,0,0,0,0,0,0,0,20.0,540.05,4,0,0,12,0,1.0,0,0,1,0,1,0,1,0,0,0.6666666666666666,0,0.0,0,0.040190679853871515,0,Low,No action
1,1,0,0,2,1,1,0,1,0,0,0,1,0,89.5,161.5,0,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,29.833333333333332,1,89.5,1,0.8447891977303742,1,High,Priority retention call
1,0,0,0,3,0,0,0,0,0,0,1,0,0,35.2,108.95,0,1,1,1,1,0.0,0,0,0,1,0,0,0,0,0,8.8,1,35.2,0,0.46658253670448796,1,Medium,Send engagement offer
0,1,1,0,25,1,1,1,0,0,0,0,1,1,89.05,2177.45,4,1,2,12,0,1.0,0,1,0,0,1,0,1,0,0,3.4250000000000003,0,0.0,0,0.29501126629667623,0,Low,No action
1,0,1,1,53,1,0,0,0,1,0,0,1,0,60.6,3297.0,6,1,2,12,0,1.0,0,0,0,1,0,0,1,0,0,1.1222222222222222,0,0.0,0,0.06219693777215901,0,Low,No action
0,1,1,0,34,1,1,0,0,0,0,0,0,1,75.55,2425.4,4,1,0,1,1,0.0,0,1,0,0,1,0,0,0,1,2.1585714285714284,0,75.55,0,0.5196556734050808,1,Medium,Send engagement offer
0,0,1,0,60,1,0,0,1,0,0,1,1,1,94.4,5610.25,7,1,3,12,0,1.0,0,1,0,0,1,0,1,0,0,1.5475409836065575,0,0.0,0,0.25527812766447405,0,Low,No action
1,0,1,1,57,1,0,1,0,0,0,1,1,1,70.1,3913.3,6,1,3,12,0,1.0,0,0,0,0,0,0,1,0,0,1.2086206896551723,0,0.0,0,0.07382086939609063,0,Low,No action
